date,wave,state,sex,income,employ,region,media,educ,gore,bush,party,prepref,bush.sum,media.sum,gore.sum,party.dummy
20000124,1,OK,male,5,4,7,20,1,NA,NA,Repub,1,3988,20,3988,0
20000124,1,ID,male,5,1,8,13,7,NA,NA,NA,3,3988,13,3988,0
20000124,1,CA,female,5,1,9,21,7,NA,NA,Dem,2,3988,21,3988,1
20000127,1,CA,male,4,8,9,0,2,4,9,Dem,2,9,0,4,1
20000123,1,NV,female,3,8,8,18,3,NA,NA,Dem,2,3988,18,3988,1
20000128,1,CA,male,6,1,9,14,9,NA,NA,Repub,1,3988,14,3988,0
20000127,1,MI,female,6,6,3,12,5,NA,NA,Repub,1,3988,12,3988,0
20000125,1,MI,male,5,1,3,6,2,NA,NA,Repub,1,3988,6,3988,0
20000127,1,WV,female,NA,1,5,25,9,NA,NA,Dem,2,3988,25,3988,1
20000126,1,MI,male,7,4,3,27,7,NA,NA,Repub,1,3988,27,3988,0
20000127,1,NC,female,6,1,5,21,3,10,11,Dem,2,11,21,10,1
20000125,1,NH,female,7,1,1,7,9,NA,NA,Dem,2,3988,7,3988,1
20000127,1,FL,female,4,1,5,17,9,NA,NA,Dem,2,3988,17,3988,1
20000123,1,NM,female,3,4,8,31,3,NA,NA,Repub,1,3988,31,3988,0
20000125,1,WA,female,3,2,9,14,3,NA,NA,Repub,1,3988,14,3988,0
20000123,1,CA,male,8,1,9,13,5,NA,NA,NA,997,3988,13,3988,0
20000128,1,DC,female,7,7,5,10,8,9,14,Dem,2,14,10,9,1
20000128,1,DC,male,2,7,5,22,9,NA,NA,Repub,1,3988,22,3988,0
20000129,1,CT,female,1,5,1,14,3,NA,NA,Dem,2,3988,14,3988,1
20000129,1,ME,male,6,1,1,14,9,9,11,Dem,2,11,14,9,1
20000129,1,ME,female,6,4,1,13,3,5,7,NA,997,7,13,5,0
20000128,1,ID,male,6,8,8,14,9,NA,NA,NA,4,3988,14,3988,0
20000129,1,TX,male,4,4,7,21,2,8,8,NA,997,8,21,8,0
20000128,1,PA,female,3,1,2,10,3,NA,NA,Dem,2,3988,10,3988,1
20000129,1,PA,female,3,1,2,19,5,NA,NA,Dem,2,3988,19,3988,1
20000128,1,MN,female,NA,4,4,24,9,NA,NA,Repub,1,3988,24,3988,0
20000127,1,LA,female,5,6,7,13,3,8,7,Dem,2,7,13,8,1
20000128,1,AL,female,5,1,6,22,3,NA,NA,Repub,1,3988,22,3988,0
20000128,1,AL,male,6,1,6,18,9,9,13,Dem,2,13,18,9,1
20000128,1,MD,female,2,4,5,27,9,NA,NA,Dem,2,3988,27,3988,1
20000129,1,MD,female,6,1,5,9,5,NA,NA,Dem,2,3988,9,3988,1
20000129,1,CO,female,8,1,8,0,5,NA,NA,Dem,2,3988,0,3988,1
20000128,1,WV,male,6,4,5,21,2,NA,NA,Dem,2,3988,21,3988,1
20000128,1,FL,male,5,1,5,25,5,NA,NA,Repub,1,3988,25,3988,0
20000128,1,FL,female,NA,1,5,8,3,NA,NA,Dem,2,3988,8,3988,1
20000129,1,MO,female,5,1,4,7,5,NA,NA,Dem,2,3988,7,3988,1
20000127,1,MO,female,5,1,4,7,9,11,15,Dem,2,15,7,11,1
20000129,1,LA,female,4,1,7,9,6,NA,NA,Dem,2,3988,9,3988,1
20000128,1,LA,male,6,1,7,14,4,NA,NA,Repub,1,3988,14,3988,0
20000128,1,AL,female,1,2,6,17,5,9,11,Dem,2,11,17,9,1
20000129,1,GA,male,5,1,5,10,7,NA,NA,Dem,2,3988,10,3988,1
20000129,1,OK,male,4,1,7,11,6,NA,NA,NA,997,3988,11,3988,0
20000129,1,MD,male,6,1,5,21,7,NA,NA,Repub,1,3988,21,3988,0
